,Dxs,Dys,rot
0,193.17,-207.91,30.46
1,193.17,-207.91,30.49
2,194.18,-206.89,30.51
3,139.81,-147.50,30.43
4,198.69,-213.85,30.62
5,231.80,-249.49,30.49
6,198.69,-213.85,30.43
7,198.69,-213.85,30.37
8,193.17,-207.91,30.50
9,193.17,-206.89,30.70
