,Dxs,Dys,rot
0,181.98,-201.81,19.98
1,210.15,-234.36,20.07
2,180.97,-201.81,20.30
3,217.16,-242.17,20.21
4,186.14,-207.57,20.04
5,186.14,-207.57,20.03
6,202.44,-228.18,20.01
7,187.18,-207.57,20.59
8,211.34,-234.36,19.80
9,210.15,-234.36,19.61
