,Dxs,Dys,rot
0,169.78,-190.62,10.48
1,174.63,-196.07,10.33
2,185.22,-206.85,10.69
3,204.96,-228.75,10.50
4,169.78,-191.64,10.42
5,170.80,-190.62,10.71
6,197.17,-222.55,10.61
7,170.80,-190.62,10.74
8,175.68,-197.12,10.49
9,204.96,-228.75,10.75
